Title,year,Rating,Run Time,imdb_rating,Budget,Gross_worldwide,Director,Metascore
Django Unchained,2012,R,2h 45m,8.4,"$100,000,000 (estimated)","$426,074,373",Quentin Tarantino,81
Princess Mononoke,1997,PG-13,2h 14m,8.4,"¥2,400,000,000 (estimated)","$169,785,704",Hayao Miyazaki,76
Kill Bill: Vol. 1,2003,R,1h 51m,8.2,"$30,000,000 (estimated)","$180,906,076",Quentin Tarantino,69
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,8,"$140,000,000 (estimated)","$654,264,015",Gore Verbinski,63
Aladdin,1992,G,1h 30m,8,"$28,000,000 (estimated)","$504,050,219",Ron Clements,86
The Wages of Fear,1953,Not Rated,2h 11m,8.2,null,"$1,098",Henri-Georges Clouzot,85
The Dark Knight,2008,PG-13,2h 32m,9,"$185,000,000 (estimated)","$1,006,102,277",Christopher Nolan,84
Gran Torino,2008,R,1h 56m,8.1,"$33,000,000 (estimated)","$269,958,228",Clint Eastwood,72
Downfall,2004,R,2h 36m,8.2,"€13,500,000 (estimated)","$92,181,574",Oliver Hirschbiegel,82
Before Sunset,2004,R,1h 20m,8.1,"$2,700,000 (estimated)","$15,936,507",Richard Linklater,90
Requiem for a Dream,2000,Unrated,1h 42m,8.3,"$4,500,000 (estimated)","$7,390,108",Darren Aronofsky,68
Bicycle Thieves,1948,Not Rated,1h 29m,8.3,"$133,000 (estimated)","$436,655",Vittorio De Sica,null
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10m,8.1,"$125,000,000 (estimated)","$1,342,359,942",David Yates,85
Rififi,1955,Not Rated,1h 58m,8.1,null,"$521,342",Jules Dassin,97
American Beauty,1999,R,2h 2m,8.4,"$15,000,000 (estimated)","$356,296,601",Sam Mendes,84
Casablanca,1942,PG,1h 42m,8.5,"$950,000 (estimated)","$4,497,613",Michael Curtiz,100
Avengers: Infinity War,2018,PG-13,2h 29m,8.4,"$321,000,000 (estimated)","$2,048,359,754",Anthony Russo,68
The Wizard of Oz,1939,G,1h 42m,8.1,"$2,777,000 (estimated)","$25,637,669",Victor Fleming,92
Rashomon,1950,Not Rated,1h 28m,8.2,"$250,000 (estimated)","$46,808",Akira Kurosawa,98
Pan's Labyrinth,2006,R,1h 58m,8.2,"$19,000,000 (estimated)","$83,862,032",Guillermo del Toro,98
No Country for Old Men,2007,R,2h 2m,8.2,"$25,000,000 (estimated)","$171,627,166",Ethan Coen,92
Warrior,2011,PG-13,2h 20m,8.2,"$25,000,000 (estimated)","$23,308,615",Gavin O'Connor,71
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35m,8.4,"$1,800,000 (estimated)","$9,523,464",Stanley Kubrick,97
Joker,2019,R,2h 2m,8.4,"$55,000,000 (estimated)","$1,074,445,730",Todd Phillips,59
The Grand Budapest Hotel,2014,R,1h 39m,8.1,"$25,000,000 (estimated)","$173,082,189",Wes Anderson,88
Lawrence of Arabia,1962,Approved,3h 38m,8.3,"$15,000,000 (estimated)","$45,716,692",David Lean,100
Wild Tales,2014,R,2h 2m,8.1,"$3,300,000 (estimated)","$30,642,704",Damián Szifron,77
Inside Out,2015,PG,1h 35m,8.2,"$175,000,000 (estimated)","$858,848,019",Pete Docter,94
Casino,1995,R,2h 58m,8.2,"$52,000,000 (estimated)","$116,112,375",Martin Scorsese,73
Indiana Jones and the Raiders of the Lost Ark,1981,PG,1h 55m,8.4,"$18,000,000 (estimated)","$389,925,971",Steven Spielberg,85
Psycho,1960,R,1h 49m,8.5,"$806,947 (estimated)","$32,041,931",Alfred Hitchcock,97
It Happened One Night,1934,Passed,1h 45m,8.1,"$325,000 (estimated)",null,Frank Capra,87
Fargo,1996,R,1h 38m,8.1,"$7,000,000 (estimated)","$60,611,975",Joel Coen,85
Oldboy,2003,R,2h,8.4,"$3,000,000 (estimated)","$15,194,593",Park Chan-wook,77
Unforgiven,1992,R,2h 10m,8.2,"$14,400,000 (estimated)","$159,167,799",Clint Eastwood,85
Gladiator,2000,R,2h 35m,8.5,"$103,000,000 (estimated)","$465,380,802",Ridley Scott,67
Toy Story 3,2010,G,1h 43m,8.3,"$200,000,000 (estimated)","$1,066,970,811",Lee Unkrich,92
The Intouchables,2011,R,1h 52m,8.5,"€9,500,000 (estimated)","$426,588,510",Olivier Nakache,57
The Passion of Joan of Arc,1928,Passed,1h 54m,8.2,null,"$21,877",Carl Theodor Dreyer,null
L.A. Confidential,1997,R,2h 18m,8.2,"$35,000,000 (estimated)","$126,216,940",Curtis Hanson,90
12 Angry Men,1957,Approved,1h 36m,9,"$350,000 (estimated)",$955,Sidney Lumet,96
The Matrix,1999,R,2h 16m,8.7,"$63,000,000 (estimated)","$467,222,728",Lana Wachowski,73
The Big Lebowski,1998,R,1h 57m,8.1,"$15,000,000 (estimated)","$46,969,081",Joel Coen,71
Spirited Away,2001,PG,2h 5m,8.6,"$19,000,000 (estimated)","$355,725,195",Hayao Miyazaki,96
Ratatouille,2007,G,1h 51m,8.1,"$150,000,000 (estimated)","$623,726,085",Brad Bird,96
Coco,2017,PG,1h 45m,8.4,"$175,000,000 (estimated)","$807,817,888",Lee Unkrich,81
Dangal,2016,Not Rated,2h 41m,8.3,"₹700,000,000 (estimated)","$303,723,636",Nitesh Tiwari,null
Finding Nemo,2003,G,1h 40m,8.2,"$94,000,000 (estimated)","$940,352,645",Andrew Stanton,90
To Kill a Mockingbird,1962,Approved,2h 9m,8.3,"$2,000,000 (estimated)","$599,146",Robert Mulligan,88
The 400 Blows,1959,Not Rated,1h 39m,8.1,null,"$127,244",François Truffaut,null
Like Stars on Earth,2007,PG,2h 45m,8.3,null,"$21,897,373",Aamir Khan,null
Indiana Jones and the Last Crusade,1989,PG-13,2h 7m,8.2,"$48,000,000 (estimated)","$474,171,806",Steven Spielberg,65
Pather Panchali,1955,Not Rated,2h 5m,8.3,null,"$135,342",Satyajit Ray,null
Rocky,1976,PG,2h,8.1,"$960,000 (estimated)","$117,250,402",John G. Avildsen,70
Rush,2013,R,2h 3m,8.1,"$38,000,000 (estimated)","$96,983,009",Ron Howard,74
